"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
p1_ii_lateralization,phase_i_interictal_ictal,,radio,"Phase I Interictal Lateralization","1, Left | 2, Right | 3, Midline | 4, Generalized",,,,,,"[p1_ii_type] = '1'",,,,,,
p1_ii_localization,phase_i_interictal_ictal,,radio,"Phase I Interictal Localization","1, Temporal | 2, Frontal | 3, Parietal | 4, Occipital | 5, Other",,,,,,"[p1_ii_lateralization] = '1' or [p1_ii_lateralization] = '2'",,,,,," @NONEOFTHEABOVE=""999"""
p1_ii_local_amp,phase_i_interictal_ictal,,checkbox,"Interictal - Anterior, Mid, Posterior?","1, Anterior | 2, Mid | 3, Posterior",,,,,,"[p1_ii_localization] = '1'",,,,,," @NONEOFTHEABOVE=""999"""
p1_ii_local_ml,phase_i_interictal_ictal,,radio,"Interictal - Mesial/Lateral?","0, Mesial | 1, Lateral",,,,,,"[p1_ii_localization] = '1'",,,,,," @NONEOFTHEABOVE=""999"""
p1_ii_localization_other,phase_i_interictal_ictal,,text,"Other Interictal localization",,,,,,,"[p1_ii_localization] = '5'",y,,,,," @PLACEHOLDER= ""Please specify"""
p1_ii_localization_yn,phase_i_interictal_ictal,,yesno,"Secondary location for this interictal? ",,,,,,,"[p1_ii_localization] = '1' or [p1_ii_localization] = '2' or [p1_ii_localization] = '3' or [p1_ii_localization] = '4' or [p1_ii_localization] = '5'",,,,,,
p1_ii_localization_2,phase_i_interictal_ictal,,radio,"Phase I Interictal Secondary Localization","1, Temporal | 2, Frontal | 3, Parietal | 4, Occipital | 5, Central",,,,,,"[p1_ii_localization_yn] = '1'",,,,,,
p1_ii_localization_3yn,phase_i_interictal_ictal,,yesno,"Third localization for this type of interictal?",,,,,,,"[p1_ii_localization_yn] = '1'",,,,,,
p1_ii_localization_3,phase_i_interictal_ictal,,radio,"Phase I Interictal Third Localization","1, Temporal | 2, Frontal | 3, Parietal | 4, Occipital | 5, Central",,,,,,"[p1_ii_localization_3yn] = '1'",,,,,,
p1_sz_semiology,phase_i_interictal_ictal,,notes,"Seizure Semiology Description",,,,,,,"[p1_ii_or_ictal] = '2'",,,,,,
p1_semi_lateralization,phase_i_interictal_ictal,,radio,"Phase I Semiology Lateralization","1, Left | 2, Right | 3, Unlateralizable",,,,,,"[p1_ii_or_ictal] = '2'",,,,,," @NONEOFTHEABOVE = ""999"""
p1_semi_localization,phase_i_interictal_ictal,,radio,"Phase I Semiology Localization","1, Temporal | 2, Frontal (including SMA/ Primary Motor/ Insula) | 3, Parietal (including Primary Sensory) | 4, Occipital | 5, Other | 6, Unlocalizable",,,,,,"[p1_ii_or_ictal] = '2'",,,,,," @NONEOFTHEABOVE = ""999"""
p1_semi_local_ml,phase_i_interictal_ictal,,radio,"Seizure - Semiology - Mesial/Lateral","0, Mesial | 1, Lateral",,,,,,"[p1_semi_localization] = '1'",,,,,," @NONEOFTHEABOVE=""999"""
p1_semi_local_amp,phase_i_interictal_ictal,,radio,"Seizure - Semiology - Anterior, Mid, Posterior ","1, Anterior | 2, Posterior",,,,,,"[p1_semi_localization] = '1'",,,,,," @NONEOFTHEABOVE=""999"""
p1_semi_local_other,phase_i_interictal_ictal,,text,"Other Semiology Localization",,,,,,,"[p1_semi_localization] = '5'",y,,,,," @PLACEHOLDER= ""Please specify"""
p1_semi_localization_yn,phase_i_interictal_ictal,,yesno,"Secondary location for this semiology? ",,,,,,,"[p1_semi_localization] = '1' or [p1_semi_localization] = '2' or [p1_semi_localization] = '3' or [p1_semi_localization] = '4' or [p1_semi_localization] = '5'",,,,,,
p1_semi_localization_2,phase_i_interictal_ictal,,radio,"Phase I Semiology Secondary Localization","1, Temporal | 2, Frontal (including SMA/ Primary Motor/ Insula) | 3, Parietal (including Primary Sensory) | 4, Occipital | 5, Central",,,,,,"[p1_semi_localization_yn] = '1'",,,,,,
p1_sz_lateralization,phase_i_interictal_ictal,"Phase 1 Seizure Electrographic Onset",radio,"Phase I Seizure Electrographic Lateralization","1, Left | 2, Right | 3, Midline | 4, Generalized | 5, Unlateralizable",,,,,,"[p1_ii_or_ictal] = '2'",,,,,," @NONEOFTHEABOVE = ""999"""
p1_sz_localization,phase_i_interictal_ictal,,radio,"Phase I Seizure Electrographic Localization ","1, Temporal | 2, Frontal | 3, Parietal | 4, Occipital | 5, Other | 6, Unlocalizable",,,,,,"[p1_ii_or_ictal] = '2'",,,,,," @NONEOFTHEABOVE=""999"""
p1_sz_local_amp,phase_i_interictal_ictal,,checkbox,"Seizure - EEG - Anterior, Mid, Posterior ","1, Anterior | 2, Mid | 3, Posterior",,,,,,"[p1_sz_localization] = '1'",,,,,," @NONEOFTHEABOVE=""999"""
p1_sz_local_ml,phase_i_interictal_ictal,,radio,"Seizure - EEG - Mesial/Lateral","0, Mesial | 1, Lateral | 2, Sub-temporal",,,,,,"[p1_sz_localization] = '1'",,,,,," @NONEOFTHEABOVE=""999"""
p1_sz_localization_yn,phase_i_interictal_ictal,,yesno,"Secondary location for this seizure? ",,,,,,,"[p1_sz_localization] = '1' or [p1_sz_localization] = '2' or [p1_sz_localization] = '3' or [p1_sz_localization] = '4' or [p1_sz_localization] = '5'",,,,,,
p1_sz_localization_2,phase_i_interictal_ictal,,radio,"Phase I Seizure Secondary Localization","1, Temporal | 2, Frontal | 3, Parietal | 4, Occipital | 5, Central",,,,,,"[p1_sz_localization_yn] = '1'",,,,,,
p1_sz_local_temporal,phase_i_interictal_ictal,,text,"Number of seizures seen Temporal Lobe",,,integer,0,,,"[p1_sz_localization] = '1'",,,,,," @PLACEHOLDER=""# of seizures seen"""
p1_sz_local_frontal,phase_i_interictal_ictal,,text,"Number of seizures seen Frontal Lobe",,,integer,,,,"[p1_sz_localization] = '2'",,,,,," @PLACEHOLDER=""# of seizures seen"""
p1_sz_local_parietal,phase_i_interictal_ictal,,text,"Number of seizures seen Parietal Lobe",,,,,,,"[p1_sz_localization] = '3'",,,,,," @PLACEHOLDER=""# of seizures seen"""
p1_sz_local_occipital,phase_i_interictal_ictal,,text,"Number of seizures seen in Occipital Lobe",,,,,,,"[p1_sz_localization] = '4'",,,,,," @PLACEHOLDER=""# of seizures seen"""
p1_sz_local_other,phase_i_interictal_ictal,,text,"Number of seizures seen in ""Other""",,,,,,,"[p1_sz_localization] = '5'",,,,,," @PLACEHOLDER=""# of seizures seen"""
p1_sz_local_other_type,phase_i_interictal_ictal,,text,"Other Seizure Type",,,,,,,"[p1_sz_localization] = '5'",y,,,,," @PLACEHOLDER= ""SPECIFY OTHER"""
mri_yn,phase_i_imaging_neuropsych,MRI,radio,"MRI performed? ","1, Yes | 2, No but ordered | 0, No",,,,,,,,,,,,
imaging_mri_date,phase_i_imaging_neuropsych,,text,"MRI - Date performed/Scheduled Date",,,date_mdy,,,y,"[mri_yn] = '1' or [mri_yn] = '2'",,,,,,
mri_normal_abnormal,phase_i_imaging_neuropsych,,radio,"Was MRI Normal or Abnormal?","1, Normal | 2, Abnormal",,,,,,"[mri_yn] = '1'",,,,,,
mri_report,phase_i_imaging_neuropsych,,notes,"Paste MRI Report",,,,,,,"[mri_yn] = '1'",,,,,," @PLACEHOLDER='Paste MRI Impression here'"
mri_lateralization,phase_i_imaging_neuropsych,,radio,"MRI Lateralization","1, Left | 2, Right | 3, Bilateral | 4, Midline | 5, Multifocal",,,,,,"[mri_normal_abnormal] = '2'",,,,,,
mri_l_localization,phase_i_imaging_neuropsych,,radio,"MRI Localization (Left)","1, Temporal | 2, Frontal | 3, Parietal | 4, Occipital | 5, Sub-cortical | 6, Other",,,,,,"[mri_lateralization] = '1' or [mri_lateralization] = '3' or [mri_lateralization] = '5'",,,,,," @NONEOFTHEABOVE=""999"""
mri_local_l_amp,phase_i_imaging_neuropsych,,radio," MRI- Anterior, Posterior (left)","1, Anterior | 2, Posterior",,,,,,"[mri_l_localization] = '1'",,,,,," @NONEOFTHEABOVE=""4"""
mri_local_l_ml,phase_i_imaging_neuropsych,,radio,"MRI - Mesial/Lateral (Left)","0, Mesial | 1, Lateral",,,,,,"[mri_l_localization] = '1'",,,,,," @NONEOFTHEABOVE=""3"""
mri_l_local_other,phase_i_imaging_neuropsych,,text,"MRI - Specify Other (left)",,,,,,,"[mri_l_localization] = '6'",y,,,,," @PLACEHOLDER = ""PLEASE SPECIFY"""
mri_lesion_left,phase_i_imaging_neuropsych,,dropdown,"Please Indicate the Lesion (Left)","1, Hippocampal sclerosis/ Mesial temporal atrophy/ hyperintensity | 2, Cavernoma/ vascular lesion | 3, Neoplasm - including DNET & glioma | 4, Focal cortical dysplasia (FCD) | 5, Stroke/ Encephalomalacia (include TBI) | 6, Polymicrogyria | 7, Heterotopias | 8, Cortical Tubers / TSC | 0, Multiple | 99, Other","Select Only 1",,,,,"[mri_lateralization] = 1 or [mri_lateralization] = 3 or [mri_lateralization] = 5",,,,,,
mri_lesion_l_mult,phase_i_imaging_neuropsych,,checkbox,"If multiple, Please indicate all lesion types (Left)","1, Hippocampal sclerosis/ Mesial temporal atrophy/ hyperintensity | 2, Cavernoma/ vascular lesion | 3, Neoplasm - including DNET & glioma | 4, Focal cortical dysplasia (FCD) | 5, Stroke/ Encephalomalacia (include TBI) | 6, Polymicrogyria | 7, Heterotopias | 8, Cortical Tubers / TSC","Select all that apply",,,,,"[mri_lesion_left] = '0'",,,,,,
mri_lesion_l_other,phase_i_imaging_neuropsych,,text,"If Other, Please describe lesion type (Left)",,,,,,,"[mri_lesion_left] = 99",,,,,,
mri_r_localization,phase_i_imaging_neuropsych,,radio,"MRI Localization (Right)","1, Temporal | 2, Frontal | 3, Parietal | 4, Occipital | 5, Sub-cortical | 6, Other",,,,,,"[mri_lateralization] = '2' or [mri_lateralization] = '3' or [mri_lateralization] = '5'",,,,,," @NONEOFTHEABOVE = '999'"
mri_local_r_amp,phase_i_imaging_neuropsych,,radio," MRI- Anterior, Posterior (right)","1, Anterior | 2, Posterior",,,,,,"[mri_r_localization] = '1'",,,,,," @NONEOFTHEABOVE=""4"""
mri_local_r_ml,phase_i_imaging_neuropsych,,radio,"MRI - Mesial/Lateral (right)","0, Mesial | 1, Lateral",,,,,,"[mri_r_localization] = '1'",,,,,," @NONEOFTHEABOVE=""3"""
mri_r_local_other,phase_i_imaging_neuropsych,,text,"MRI - Specify Other (right)",,,,,,,"[mri_r_localization] = '6'",y,,,,," @PLACEHOLDER = ""PLEASE SPECIFY"""
mri_lesion_right,phase_i_imaging_neuropsych,,dropdown,"Please Indicate the Lesion (right)","1, Hippocampal sclerosis/ Mesial temporal atrophy/ hyperintensity | 2, Cavernoma/ vascular lesion | 3, Neoplasm - including DNET & glioma | 4, Focal cortical dysplasia (FCD) | 5, Stroke/ Encephalomalacia (include TBI) | 6, Polymicrogyria | 7, Heterotopias | 8, Cortical Tubers / TSC | 0, Multiple | 99, Other","Select Only 1",,,,,"[mri_lateralization] = 2 or [mri_lateralization] = 3 or [mri_lateralization] = 5",,,,,,
mri_lesion_r_mult,phase_i_imaging_neuropsych,,checkbox,"If multiple, Please indicate all lesion types (Right)","1, Hippocampal sclerosis/ Mesial temporal atrophy/ hyperintensity | 2, Cavernoma/ vascular lesion | 3, Neoplasm - including DNET & glioma | 4, Focal cortical dysplasia (FCD) | 5, Stroke/ Encephalomalacia (include TBI) | 6, Polymicrogyria | 7, Heterotopias | 8, Cortical Tubers / TSC","Select all that apply",,,,,"[mri_lesion_right] = '0'",,,,,,
mri_lesion_r_other,phase_i_imaging_neuropsych,,text,"If Other, Please describe lesion type (Right)",,,,,,,"[mri_lesion_right] = 99",,,,,,
mri_midline_localization,phase_i_imaging_neuropsych,,radio,"MRI Localization (Midline)","1, Frontal | 2, Parietal | 3, Occipital | 4, Sub-cortical | 5, Other",,,,,,"[mri_lateralization] = '4' or [mri_lateralization] = '5'",,,,,," @NONEOFTHEABOVE = '999'"
mri_mid_local_other,phase_i_imaging_neuropsych,,text,"MRI - Specify Other (Midline)",,,,,,,"[mri_midline_localization] = '5'",y,,,,," @PLACEHOLDER = ""PLEASE SPECIFY"""
mri_lesion_mid,phase_i_imaging_neuropsych,,dropdown,"Please Indicate the Lesion (Midline)","1, Hamartoma | 2, Cavernoma/ vascular lesion | 3, Neoplasm - including DNET & glioma | 4, Focal cortical dysplasia (FCD) | 5, Stroke/ Encephalomalacia (include TBI) | 6, Polymicrogyria | 7, Heterotopias | 8, Cortical Tubers / TSC | 9, Multiple | 99, Other","Select Only 1",,,,,"[mri_lateralization] = 4 or [mri_lateralization] = 5",,,,,,
mri_lesion_mid_mult,phase_i_imaging_neuropsych,,checkbox,"If multiple, Please indicate all lesion types (midline)","1, Hamartoma | 2, Cavernoma/ vascular lesion | 3, Neoplasm - including DNET & glioma | 4, Focal cortical dysplasia (FCD) | 5, Stroke/ Encephalomalacia (include TBI) | 6, Polymicrogyria | 7, Heterotopias | 8, Cortical Tubers / TSC","Select all that apply",,,,,"[mri_lesion_mid] = '0'",,,,,,
mri_lesion_mid_other,phase_i_imaging_neuropsych,,text,"If Other, Please describe lesion type (Midline)",,,,,,,"[mri_lesion_mid] = 99",,,,,,
pet_yn,phase_i_imaging_neuropsych,FDG-PET,radio,"FDG-PET performed? ","1, Yes | 2, No but ordered | 0, No",,,,,,,,,,,,
pet_date,phase_i_imaging_neuropsych,,text,"FDG-PET - Date performed/Scheduled Date",,,date_mdy,,,y,"[pet_yn] = '1' or [pet_yn] = '2'",,,,,,
pet_report,phase_i_imaging_neuropsych,,notes,"Paste FDG-PET Report",,,,,,,"[pet_yn] = '1'",,,,,,
pet_hypometabolism_yn,phase_i_imaging_neuropsych,,yesno,"FDG-PET Hypometabolism Seen?",,,,,,,"[pet_yn] = '1'",,,,,,
pet_hypo_lateralization,phase_i_imaging_neuropsych,,radio,"FDG-PET Hypometabolism Lateralization","1, Left | 2, Right | 3, Both",,,,,,"[pet_hypometabolism_yn] = '1'",,,,,,
pet_hypo_l_local,phase_i_imaging_neuropsych,,radio,"FDG-PET Localization of Hypometabolism (Left)","1, Temporal | 2, Frontal | 3, Parietal | 4, Occipital | 5, Sub-cortical | 6, Other",,,,,,"[pet_hypo_lateralization] = '1' or [pet_hypo_lateralization] = '3'",,,,,,
pet_hypo_local_l_amp,phase_i_imaging_neuropsych,,radio," FDG-PET Hypometabolism - Anterior, Posterior (left)","1, Anterior | 2, Posterior",,,,,,"[pet_hypo_l_local] = '1'",,,,,," @NONEOFTHEABOVE=""999"""
pet_hypo_local_l_ml,phase_i_imaging_neuropsych,,radio," FDG-PET Hypometabolism - Medial, Lateral (left)","0, Medial | 1, Lateral | 2, Both",,,,,,"[pet_hypo_l_local] = '1'",,,,,," @NONEOFTHEABOVE=""4"""
pet_hypo_r_local,phase_i_imaging_neuropsych,,radio,"FDG-PET Localization of Hypometabolism (Right)","1, Temporal | 2, Frontal | 3, Parietal | 4, Occipital | 5, Sub-cortical | 6, Other",,,,,,"[pet_hypo_lateralization] = '2' or [pet_hypo_lateralization] = '3'",,,,,,
pet_hypo_local_r_amp,phase_i_imaging_neuropsych,,radio," FDG-PET Hypometabolism - Anterior, Posterior (Right)","1, Anterior | 2, Posterior",,,,,,"[pet_hypo_r_local] = '1'",,,,,," @NONEOFTHEABOVE=""4"""
pet_hypo_local_r_ml,phase_i_imaging_neuropsych,,radio," FDG-PET Hypometabolism - Medial, Lateral (Right)","0, Medial | 1, Lateral | 2, Both",,,,,,"[pet_hypo_r_local] = '1'",,,,,," @NONEOFTHEABOVE=""4"""
pet_hypo_l_local_other,phase_i_imaging_neuropsych,,text,"FDG-PET - Specify Hypometabolism Other (Left)
",,,,,,,"[pet_hypo_l_local] = '6'",y,,,,," @PLACEHOLDER = ""PLEASE SPECIFY"""
pet_hypo_r_local_other,phase_i_imaging_neuropsych,,text,"FDG-PET - Specify Hypometabolism Other (Right)
",,,,,,,"[pet_hypo_r_local] = '6'",y,,,,," @PLACEHOLDER = ""PLEASE SPECIFY"""
rsfmri_yn,phase_i_imaging_neuropsych,rsfMRI,radio,"rsfMRI performed? ","1, Yes | 2, No but ordered | 0, No",,,,,,,,,,,,
rsfmri_date,phase_i_imaging_neuropsych,,text,"rsMRI - Date performed/Scheduled Date",,,date_mdy,,,y,"[rsfmri_yn] = '1' or [rsfmri_yn] = '2'",,,,,,
rsfmri_report,phase_i_imaging_neuropsych,,notes,"Paste rsMRI Report",,,,,,,"[rsfmri_yn] = '1'",,,,,,
rsfmri_hypothesis,phase_i_imaging_neuropsych,,text,"rsfMRI hypothesis",,,,,,,"[rsfmri_yn] = '1'",,,,,," @PLACEHOLDER = ""State hypothesis tested"""
rsfmri_lateralization,phase_i_imaging_neuropsych,,radio,"rsfMRI ICA Lateralization","1, L | 2, R | 3, L>R | 4, R>L | 5, L=R | 6, Non-lateralizing",,,,,,"[rsfmri_yn] = '1'",,,,,,
rsfmri_directionality,phase_i_imaging_neuropsych,,text,"rsfMRI Directionality",,,,,,,"[rsfmri_yn] = '1'",,,,,," @PLACEHOLDER = ""State directionality if available"""
rsfmri_l_localization,phase_i_imaging_neuropsych,,radio,"rsfMRI Localization (Left)","1, Temporal | 2, Frontal | 3, Parietal | 4, Occipital | 5, Sub-cortical | 6, Insula | 9, Other",,,,,,"[rsfmri_lateralization] = '1' or [rsfmri_lateralization] = '3' or [rsfmri_lateralization] = '4' or [rsfmri_lateralization] = '5'",,,,,," @NONEOFTHEABOVE=""999"""
rsfmri_local_l_amp,phase_i_imaging_neuropsych,,radio," rsfMRI- Anterior, Posterior (left)","1, Anterior | 2, Posterior",,,,,,"[rsfmri_l_localization] = '1'",,,,,," @NONEOFTHEABOVE=""4"""
rsfmri_local_l_ml,phase_i_imaging_neuropsych,,radio,"rsfMRI - Mesial/Lateral (Left)","0, Mesial | 1, Lateral",,,,,,"[rsfmri_l_localization] = '1'",,,,,," @NONEOFTHEABOVE=""3"""
rsfmri_r_localization,phase_i_imaging_neuropsych,,radio,"rsfMRI Localization (Right)","1, Temporal | 2, Frontal | 3, Parietal | 4, Occipital | 5, Sub-cortical | 6, Insula | 9, Other",,,,,,"[rsfmri_lateralization] = '2' or [rsfmri_lateralization] = '3' or [rsfmri_lateralization] = '4' or [rsfmri_lateralization] = '5'",,,,,,
rsfmri_local_r_amp,phase_i_imaging_neuropsych,,radio," rsfMRI- Anterior, Posterior (right)","1, Anterior | 2, Posterior",,,,,,"[rsfmri_r_localization] = '1'",,,,,," @NONEOFTHEABOVE=""4"""
rsfmri_local_r_ml,phase_i_imaging_neuropsych,,radio,"rsfMRI - Mesial/Lateral (right)","0, Mesial | 1, Lateral",,,,,,"[rsfmri_r_localization] = '1'",,,,,," @NONEOFTHEABOVE=""3"""
rsfmri_l_local_other,phase_i_imaging_neuropsych,,text,"rsfMRI - Specify Other (left)",,,,,,,"[rsfmri_l_localization] = '9'",y,,,,," @PLACEHOLDER = ""PLEASE SPECIFY"""
rsfmri_r_local_other,phase_i_imaging_neuropsych,,text,"rsfMRI - Specify Other (right)",,,,,,,"[rsfmri_r_localization] = '9'",y,,,,," @PLACEHOLDER = ""PLEASE SPECIFY"""
spect_yn,phase_i_imaging_neuropsych,SPECT,radio,"SPECT performed? ","1, Yes | 2, No but ordered | 0, No",,,,,,,,,,,,
spect_date,phase_i_imaging_neuropsych,,text,"SPECT - Date performed/Scheduled Date",,,date_mdy,,,y,"[spect_yn] = '1' or [spect_yn] = '2'",,,,,,
spect_report,phase_i_imaging_neuropsych,,notes,"Paste SPECT Report",,,,,,,"[spect_yn] = '1'",,,,,,
spect_injection,phase_i_imaging_neuropsych,,radio,"SPECT Injection","0, Interictal | 1, Ictal",,,,,,"[spect_yn] = '1'",,,,,,
spect_hypermetabolism_yn,phase_i_imaging_neuropsych,,yesno,"SPECT Hypermetabolism Seen?",,,,,,,"[spect_yn] = '1'",,,,,,
spect_hyper_lateralization,phase_i_imaging_neuropsych,,radio,"SPECT Hypermetabolism Lateralization","1, Left | 2, Right | 3, Both",,,,,,"[spect_hypermetabolism_yn] = '1'",,,,,,
spect_hyper_l_local,phase_i_imaging_neuropsych,,radio,"SPECT Localization of Hypermetabolism (Left)","1, Temporal | 2, Frontal | 3, Parietal | 4, Occipital | 5, Sub-cortical | 6, Other",,,,,,"[spect_hyper_lateralization] = '1' or [spect_hyper_lateralization] = '3'",,,,,,
spect_hyper_local_l_amp,phase_i_imaging_neuropsych,,radio,"SPECT Hypermetabolism - Anterior, Posterior (left)","1, Anterior | 2, Posterior",,,,,,"[spect_hyper_l_local] = '1'",,,,,," @NONEOFTHEABOVE=""4"""
spect_hyper_local_l_ml,phase_i_imaging_neuropsych,,radio,"SPECT Hypermetabolism - Medial, Lateral (left)","0, Medial | 1, Lateral",,,,,,"[spect_hyper_l_local] = '1'",,,,,," @NONEOFTHEABOVE=""4"""
spect_hyper_r_local,phase_i_imaging_neuropsych,,radio,"SPECT Localization of Hypermetabolism (Right)","1, Temporal | 2, Frontal | 3, Parietal | 4, Occipital | 5, Sub-cortical | 6, Other",,,,,,"[spect_hyper_lateralization] = '2' or [spect_hyper_lateralization] = '3'",,,,,,
spect_hyper_local_r_amp,phase_i_imaging_neuropsych,,radio,"SPECT Hypermetabolism - Anterior, Posterior (Right)","1, Anterior | 2, Posterior",,,,,,"[spect_hyper_r_local] = '1'",,,,,," @NONEOFTHEABOVE=""4"""
spect_hyper_local_r_ml,phase_i_imaging_neuropsych,,radio,"SPECT Hypermetabolism - Medial, Lateral (Right)","0, Medial | 1, Lateral",,,,,,"[spect_hyper_r_local] = '1'",,,,,," @NONEOFTHEABOVE=""4"""
spect_hyper_l_local_other,phase_i_imaging_neuropsych,,text,"SPECT - Specify Hypermetabolism Other (Left)
",,,,,,,"[spect_hyper_l_local] = '6'",y,,,,," @PLACEHOLDER = ""PLEASE SPECIFY"""
spect_hyper_r_local_other,phase_i_imaging_neuropsych,,text,"SPECT - Specify Hypermetabolism Other (Right)",,,,,,,"[spect_hyper_r_local] = '6'",y,,,,," @PLACEHOLDER = ""PLEASE SPECIFY"""
spect_hypometabolism_yn,phase_i_imaging_neuropsych,,yesno,"SPECT Hypometabolism Seen?",,,,,,,"[spect_yn] = '1'",,,,,,
spect_hypo_lateralization,phase_i_imaging_neuropsych,,radio,"SPECT Hypometabolism Lateralization","1, Left | 2, Right | 3, Both",,,,,,"[spect_hypometabolism_yn] = '1'",,,,,,
spect_hypo_l_local,phase_i_imaging_neuropsych,,radio,"SPECT Localization of Hypometabolism (Left)","1, Temporal | 2, Frontal | 3, Parietal | 4, Occipital | 5, Sub-cortical | 6, Other",,,,,,"[spect_hypo_lateralization] = '1' or [spect_hypo_lateralization] = '3'",,,,,,
spect_hypo_local_l_amp,phase_i_imaging_neuropsych,,radio,"SPECT Hypometabolism - Anterior, Posterior (left)","1, Anterior | 2, Posterior",,,,,,"[spect_hypo_l_local] = '1'",,,,,," @NONEOFTHEABOVE=""4"""
spect_hypo_local_l_ml,phase_i_imaging_neuropsych,,radio,"SPECT Hypometabolism - Medial, Lateral (left)","0, Medial | 1, Lateral",,,,,,"[spect_hypo_l_local] = '1'",,,,,," @NONEOFTHEABOVE=""4"""
spect_hypo_r_local,phase_i_imaging_neuropsych,,radio,"SPECT Localization of Hypometabolism (Right)","1, Temporal | 2, Frontal | 3, Parietal | 4, Occipital | 5, Sub-cortical | 6, Other",,,,,,"[spect_hypo_lateralization] = '2' or [spect_hypo_lateralization] = '3'",,,,,,
spect_hypo_local_r_amp,phase_i_imaging_neuropsych,,radio,"SPECT Hypometabolism - Anterior, Posterior (Right)","1, Anterior | 2, Posterior",,,,,,"[spect_hypo_r_local] = '1'",,,,,," @NONEOFTHEABOVE=""4"""
spect_hypo_local_r_ml,phase_i_imaging_neuropsych,,radio,"SPECT Hypometabolism - Medial, Lateral (Right)","0, Medial | 1, Lateral",,,,,,"[spect_hypo_r_local] = '1'",,,,,," @NONEOFTHEABOVE=""4"""
spect_hypo_l_local_other,phase_i_imaging_neuropsych,,text,"SPECT - Specify Hypometabolism Other (Left)
",,,,,,,"[spect_hypo_l_local] = '6'",y,,,,," @PLACEHOLDER = ""PLEASE SPECIFY"""
spect_hypo_r_local_other,phase_i_imaging_neuropsych,,text,"SPECT - Specify Hypometabolism Other (Right)
",,,,,,,"[spect_hypo_r_local] = '6'",y,,,,," @PLACEHOLDER = ""PLEASE SPECIFY"""
spect_siscom_yn,phase_i_imaging_neuropsych,,yesno,"Was SPECT Ictal - Interictal Subtraction Analysis (SISCOM) performed?",,,,,,,"[spect_yn] = '1'",,,,,,
spect_siscom_result,phase_i_imaging_neuropsych,,notes,"What was result of SPECT Ictal - Interictal Subtraction Analysis (SISCOM)?",,"Please paste SISCOM findings",,,,,"[spect_siscom_yn] = '1'",,,,,,
fmri_yn,phase_i_imaging_neuropsych,fMRI,radio,"fMRI performed? ","1, Yes | 2, No but ordered | 0, No",,,,,,,,,,,,
fmri_date,phase_i_imaging_neuropsych,,text,"fMRI - Date performed/Scheduled Date",,,date_mdy,,,y,"[fmri_yn] = '1' or [fmri_yn] = '2'",,,,,,
fmri_report,phase_i_imaging_neuropsych,,notes,"Paste fMRI Report",,,,,,,"[fmri_yn] = '1'",,,,,,
fmri_other,phase_i_imaging_neuropsych,,radio,"Lateralization/Localization Other than Motor/Language Requested?","1, Yes {fmri_other_type} | 0, No",,,,,,"[fmri_yn] = '1'",,,,,,
fmri_other_type,phase_i_imaging_neuropsych,,text,"Location of Other Localization_Lateralization Requested",,"If multiple, choose primary",,,,,"[fmri_other] = '1'",,,,,," @PLACEHOLDER = ""Please specify location"""
fmri_lateral_language,phase_i_imaging_neuropsych,,radio,"fMRI - Language Lateralization","1, Left | 2, Right | 3, Unlateralizable",,,,,,"[fmri_yn] = '1'",,,,fmri_lateralization,,
fmri_lateral_motor,phase_i_imaging_neuropsych,,radio,"fMRI - Motor Lateralization","1, Left | 2, Right | 3, Unlateralizable",,,,,,"[fmri_yn] = '1'",,,,fmri_lateralization,,
fmri_lateral_other,phase_i_imaging_neuropsych,,radio,"fMRI - Other Lateralization","1, Left | 2, Right | 3, Unlateralizable",,,,,,"[fmri_other] = '1'",,,,fmri_lateralization,,
fmri_local_language,phase_i_imaging_neuropsych,,radio,"fMRI - Language Lateralization","0, Broca's/Wernicke's | 1, Other {fmri_language_local_other} | 2, Unlocalizable",,,,,,"[fmri_lateral_language] = '1' or [fmri_lateral_language] = '2' or [fmri_lateral_language] = '3'",,,,,,
fmri_local_motor,phase_i_imaging_neuropsych,,radio,"fMRI - Motor Lateralization","0, Motor Strip | 1, Other {fmri_motor_local_other} | 2, Unlocalizable",,,,,,"[fmri_lateral_motor] = '1' or [fmri_lateral_motor] = '2' or [fmri_lateral_motor] = '3'",,,,,,
fmri_local_other,phase_i_imaging_neuropsych,,radio,"fMRI - Other Lateralization","0, Expected Location | 1, Other {fmri_other_local_other} | 2, Unlocalizable",,,,,,"[fmri_lateral_other] = '1' or [fmri_lateral_other] = '2' or [fmri_lateral_other] = '3'",,,,,,
fmri_language_local_other,phase_i_imaging_neuropsych,,text,"Other Language Localization",,,,,,,"[fmri_local_language] = '1'",y,,,,," @PLACEHOLDER = ""PLEASE SPECIFY"""
fmri_motor_local_other,phase_i_imaging_neuropsych,,text,"Other Motor Localization",,,,,,,"[fmri_local_motor] = '1'",y,,,,," @PLACEHOLDER = ""PLEASE SPECIFY"""
fmri_other_local_other,phase_i_imaging_neuropsych,,text,"Other Localization",,,,,,,"[fmri_local_other] = '1'",y,,,,," @PLACEHOLDER = ""PLEASE SPECIFY"""
