"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
outcome_engel_6,outcomes,,radio,"Engel Outcome Scale at 6 months","1, Class I - Free of disabling seizures {outcome_engel_6sub1} | 2, Class II - Rare disabling seizures (""almost seizure free"") {outcome_engel_6sub2} | 3, Class III - Worthwhile improvement {outcome_engel_6sub3} | 4, Class IV - No worthwhile improvement {outcome_engel_6sub4}",,,,,,"[outcome_6mo_yn] = '1'",,,,,,
outcome_engel_6sub1,outcomes,,radio,"Engel Class I subtypes","1, IA - Completely seizure-free since surgery | 2, IB - Non disabling simple partial seizures only since surgery | 3, IC - Some disabling seizures after surgery but free of disabling seizures for at least 2 years | 4, ID - Generalized convulsions with anti-seizure drug withdrawal only",,,,,,"[outcome_engel_6] = '1'",,,,,,
outcome_engel_6sub2,outcomes,,radio,"Engel Class II subtype","1, IIA - Initially free of disabling seizures but has rare seizures now | 2, IIB - Rare disabling seizures since surgery | 3, IIC - More than rare disabling seizures after surgery, but rare seizures for at least 2 years | 4, IID - Nocturnal seizures only",,,,,,"[outcome_engel_6] = '2'",,,,,,
outcome_engel_6sub3,outcomes,,radio,"Engel Class III subtypes","1, IIIA - Worthwhile seizure reduction | 2, IIIB - Prolonged seizure-free intervals amounting to greater than half the follow-up period, but not less than 2 years",,,,,,"[outcome_engel_6] = '3'",,,,,,
outcome_engel_6sub4,outcomes,,radio,"Engel Class IV subtypes","1, IVA - Some seizure reduction | 2, IVB - No appreciable change | 3, IVC - Seizures worse after surgery",,,,,,"[outcome_engel_6] = '4'",,,,,,
outcome_ilae_6,outcomes,,radio,"ILAE Outcome 6 month","1, Completely Seizure free | 2, Auras only | 3, 1 to 3 seizures days per year w or wo auras | 4, 50% or greater reduction in seizure days | 5, less than 50% reduction in seizure days | 6, Increase in seizure days","ILAE Outcome scale at 6 month follow-up",,,,,"[outcome_6mo_yn] = '1'",,,,,,
outcome_12mo_yn,outcomes,,yesno,"12 month clinic follow-up?",,"Post-phase 3 clinic follow-up - 12 month",,,,,"[outcome_yn] = '1'",,,,,,
outcome_engel_12,outcomes,,radio,"Engel Outcome Scale at 12 months","1, Class I - Free of disabling seizures {outcome_engel_12sub1} | 2, Class II - Rare disabling seizures (""almost seizure free"") {outcome_engel_12sub2} | 3, Class III - Worthwhile improvement {outcome_engel_12sub3} | 4, Class IV - No worthwhile improvement {outcome_engel_12sub4}",,,,,,"[outcome_12mo_yn] = '1'",,,,,,
outcome_engel_12sub1,outcomes,,radio,"Engel Class I subtypes","1, IA - Completely seizure-free since surgery | 2, IB - Non disabling simple partial seizures only since surgery | 3, IC - Some disabling seizures after surgery but free of disabling seizures for at least 2 years | 4, ID - Generalized convulsions with anti-seizure drug withdrawal only",,,,,,"[outcome_engel_12] = '1'",,,,,,
outcome_engel_12sub2,outcomes,,radio,"Engel Class II subtype","1, IIA - Initially free of disabling seizures but has rare seizures now | 2, IIB - Rare disabling seizures since surgery | 3, IIC - More than rare disabling seizures after surgery, but rare seizures for at least 2 years | 4, IID - Nocturnal seizures only",,,,,,"[outcome_engel_12] = '2'",,,,,,
